Rank;Username;Followers;Country;Date;Views;Likes;Comments;Saves;Shares;Link
1;irinarimes;977.664;Romania;04 Mar 2025;332.222;15.032;263;732;73;https://www.tiktok.com/@undefined/video/7477967194937249046
2;nicolecherry;1.312.854;Romania;04 Mar 2025;78.317;4.248;45;168;26;https://www.tiktok.com/@undefined/video/7477864578865564930
3;minelli_music;113.611;Romania;18 Feb 2025;67.400;154;10;6;5;https://www.tiktok.com/@undefined/video/7472829211405913366
4;elenamaceaca11;6.825;Romania;27 Feb 2025;62.300;331;31;150;182;https://www.tiktok.com/@undefined/video/7476054200888200470
5;minelli_music;113.611;Romania;23 Feb 2025;42.705;1.940;58;197;55;https://www.tiktok.com/@undefined/video/7474677298940218646
6;alinaeremia.official;894.693;Romania;05 Apr 2025;39.301;2.002;59;103;11;https://www.tiktok.com/@undefined/video/7489789062828608790
7;danielaghimp927;261.528;Moldova;12 Mar 2025;37.825;3.028;85;44;5;https://www.tiktok.com/@undefined/video/7480942493509389574
8;minelli_music;113.611;Romania;25 Feb 2025;30.064;1.535;37;96;30;https://www.tiktok.com/@undefined/video/7475421787258408214
9;rosca.petrut92;4.857;Romania;05 Mar 2025;29.373;1.502;930;28;7;https://www.tiktok.com/@undefined/video/7478177451605069078
10;simplyfoood;78.587;Germany;13 Mar 2025;19.620;307;29;119;33;https://www.tiktok.com/@undefined/video/7481208713596914966
